n,p,k, Householder time, QL time, Total time
5832, 24, 0, 41.315347, 155.472526, 196.787874
5832, 24, 1, 40.700972, 148.808525, 189.509498
5832, 24, 2, 40.708391, 147.003170, 187.711563
5832, 24, 3, 40.718530, 151.203721, 191.922253
5832, 24, 4, 40.696827, 148.392732, 189.089560
5832, 24, 5, 40.723385, 150.158189, 190.881575
5832, 24, 6, 40.698264, 154.045149, 194.743415
5832, 24, 7, 40.727827, 158.226142, 198.953970
5832, 24, 8, 40.716076, 151.509647, 192.225724
5832, 24, 9, 40.697705, 155.432563, 196.130269
