n,p,k, Householder time, QL time, Total time
4608, 18, 0, 23.499112, 204.717959, 228.217080
4608, 18, 1, 23.364092, 211.625323, 234.989417
4608, 18, 2, 23.333799, 209.457680, 232.791480
4608, 18, 3, 23.324803, 209.911173, 233.235978
4608, 18, 4, 23.344504, 205.519087, 228.863593
4608, 18, 5, 23.345586, 209.543792, 232.889379
4608, 18, 6, 23.348242, 212.943063, 236.291307
4608, 18, 7, 23.352924, 211.720706, 235.073632
4608, 18, 8, 23.331342, 208.954090, 232.285433
4608, 18, 9, 23.349658, 206.524093, 229.873753
