n,p,k, Householder time, QL time, Total time
4608, 8, 0, 47.289476, 398.580496, 445.869974
4608, 8, 1, 46.964501, 410.316654, 457.281157
4608, 8, 2, 46.968162, 405.514064, 452.482227
4608, 8, 3, 46.915279, 406.579318, 453.494600
4608, 8, 4, 46.937571, 399.293664, 446.231237
4608, 8, 5, 46.911442, 407.070430, 453.981874
4608, 8, 6, 46.906504, 408.903668, 455.810174
4608, 8, 7, 46.915833, 407.759051, 454.674886
4608, 8, 8, 46.927402, 404.098052, 451.025456
4608, 8, 9, 46.915125, 401.175469, 448.090597
