n,p,k, Householder time, QL time, Total time
4608, 12, 0, 31.714969, 299.680051, 331.395021
4608, 12, 1, 31.966572, 309.077654, 341.044228
4608, 12, 2, 31.952574, 305.893778, 337.846354
4608, 12, 3, 31.950817, 306.567094, 338.517913
4608, 12, 4, 31.963508, 300.906577, 332.870086
4608, 12, 5, 31.957004, 306.532670, 338.489676
4608, 12, 6, 31.955458, 309.488398, 341.443857
4608, 12, 7, 31.961809, 308.329792, 340.291602
4608, 12, 8, 31.966936, 305.097596, 337.064533
4608, 12, 9, 31.969999, 302.646443, 334.616444
