n,p,k, Householder time, QL time, Total time
4608, 24, 0, 19.822805, 156.236095, 176.058902
4608, 24, 1, 19.215159, 162.127666, 181.342827
4608, 24, 2, 19.204203, 160.493424, 179.697629
4608, 24, 3, 19.210789, 160.881707, 180.092498
4608, 24, 4, 19.199061, 157.226843, 176.425906
4608, 24, 5, 19.199571, 160.581797, 179.781370
4608, 24, 6, 19.202579, 163.723388, 182.925969
4608, 24, 7, 19.194541, 162.331998, 181.526541
4608, 24, 8, 19.195704, 160.094461, 179.290166
4608, 24, 9, 19.195562, 157.802165, 176.997729
