n,p,k, Householder time, QL time, Total time
5832, 72, 0, 21.481403, 117.234889, 138.716294
5832, 72, 1, 21.423916, 111.330309, 132.754227
5832, 72, 2, 21.218365, 109.841095, 131.059462
5832, 72, 3, 21.320129, 113.715077, 135.035208
5832, 72, 4, 21.442159, 110.522612, 131.964774
5832, 72, 5, 21.413934, 113.840627, 135.254563
5832, 72, 6, 22.512956, 115.948543, 138.461501
5832, 72, 7, 21.572680, 121.139026, 142.711709
5832, 72, 8, 21.215164, 114.067382, 135.282548
5832, 72, 9, 21.481390, 118.702998, 140.184390
