n,p,k, Householder time, QL time, Total time
5832, 36, 0, 32.201432, 127.770944, 159.972378
5832, 36, 1, 31.644086, 121.902769, 153.546856
5832, 36, 2, 31.603354, 120.154152, 151.757508
5832, 36, 3, 31.614583, 123.928106, 155.542690
5832, 36, 4, 31.609051, 120.839994, 152.449046
5832, 36, 5, 31.609302, 124.056469, 155.665772
5832, 36, 6, 31.606490, 126.331378, 157.937870
5832, 36, 7, 31.600776, 131.311491, 162.912269
5832, 36, 8, 31.615569, 124.308800, 155.924370
5832, 36, 9, 31.607847, 128.517781, 160.125630
