n,p,k, Householder time, QL time, Total time
4608, 36, 0, 15.374650, 114.412736, 129.787388
4608, 36, 1, 15.026707, 119.341070, 134.367778
4608, 36, 2, 15.023616, 118.275947, 133.299564
4608, 36, 3, 15.020353, 118.553259, 133.573613
4608, 36, 4, 15.006427, 115.524291, 130.530720
4608, 36, 5, 15.010846, 118.101463, 133.112310
4608, 36, 6, 15.003896, 121.272039, 136.275937
4608, 36, 7, 15.001486, 119.805440, 134.806928
4608, 36, 8, 15.004347, 117.958344, 132.962693
4608, 36, 9, 14.999714, 115.789221, 130.788937
