n,p,k, Householder time, QL time, Total time
5832, 18, 0, 50.548379, 178.308680, 228.857060
5832, 18, 1, 50.549523, 172.231224, 222.780749
5832, 18, 2, 50.522745, 169.209941, 219.732687
5832, 18, 3, 50.531174, 173.950820, 224.481995
5832, 18, 4, 50.530845, 170.616587, 221.147434
5832, 18, 5, 50.538717, 174.469737, 225.008456
5832, 18, 6, 50.467828, 178.273875, 228.741704
5832, 18, 7, 50.551458, 183.678112, 234.229572
5832, 18, 8, 50.510261, 174.826292, 225.336554
5832, 18, 9, 50.500510, 178.378023, 228.878535
