n,p,k, Householder time, QL time, Total time
1256, 4, 0, 1.516787, 4.552465, 6.069254
1256, 4, 1, 1.496226, 4.726796, 6.223023
1256, 4, 2, 1.483951, 4.652369, 6.136321
1256, 4, 3, 1.484557, 4.538675, 6.023233
1256, 4, 4, 1.487278, 4.513964, 6.001243
1256, 4, 5, 1.489055, 4.395851, 5.884907
1256, 4, 6, 1.486471, 4.739003, 6.225475
1256, 4, 7, 1.487471, 4.406881, 5.894353
1256, 4, 8, 1.483714, 4.525242, 6.008957
1256, 4, 9, 1.484134, 4.653014, 6.137149
