n,p,k, Householder time, QL time, Total time
3240, 72, 0, 3.409336, 20.739074, 24.148412
3240, 72, 1, 2.574205, 20.052117, 22.626325
3240, 72, 2, 2.565572, 19.497977, 22.063552
3240, 72, 3, 2.566576, 19.639565, 22.206144
3240, 72, 4, 2.574876, 18.069252, 20.644131
3240, 72, 5, 2.585677, 20.479897, 23.065576
3240, 72, 6, 2.573719, 18.698735, 21.272457
3240, 72, 7, 2.570884, 19.037962, 21.608850
3240, 72, 8, 2.562322, 19.346363, 21.908688
3240, 72, 9, 2.555439, 20.149663, 22.705105
